"","resTime_Jan_tmin_voccMag","resTime_Jan_tmin_voccAng","resTime_Jun_tmin_voccMag","resTime_Jun_tmin_voccAng","resTime_Jan_tmax_voccMag","resTime_Jan_tmax_voccAng","resTime_Jun_tmax_voccMag","resTime_Jun_tmax_voccAng","resTime_Jan_ppt_voccMag","resTime_Jan_ppt_voccAng","resTime_Jun_ppt_voccMag","resTime_Jun_ppt_voccAng","resTime_Jan_dsi_voccMag","resTime_Jan_dsi_voccAng","resTime_Jun_dsi_voccMag","resTime_Jun_dsi_voccAng"
"MAPS_DISM",69.8058187615993,0.15610058151331,50.7667430882903,0.0504388616134539,676.724204139998,0.0560251473780859,50.7667430882903,0.0504388616134539,115.710977830723,0.0562533356521782,9.84966363367648,0.0509396957072164,7.04664476474982,0.0453110072271107,3.85993113636299,0.0706648931966299
"MAPS_DRAK",79.8082372516722,0.0627984599225906,151.548471040724,0.0789737000023065,123.401109229421,0.0806928661101993,151.548471040724,0.0789737000023065,41.2462013297087,0.0487513271686333,26.1481036064971,0.0594387217205048,5.16392270617438,0.0376785895815415,6.43063475540827,0.044513760584782
"MAPS_EURK",62.5078644824926,0.0751640668332943,125.395704473126,0.0541814463156255,45.8449865017489,0.0738262675474628,125.395704473126,0.0541814463156255,61.3575348139628,0.0529903792953917,17.7245634837893,0.0606255667054855,8.58691336934864,0.0697447881852562,1.62346692443695,0.0527257051385515
"MAPS_FHLG",9.84570573051312,0.0554852754016467,359.572757685681,0.0372003512868901,28.6409665511639,0.0373775323596639,359.572757685681,0.0372003512868901,157.143813315515,0.0453045842648037,1.90079835693974,0.120300138521073,18.3023552782112,0.0686179133809884,3.36529621790927,0.0664779894283849
"MAPS_GRFA",89.7050804607708,0.051839733965743,301.825579040551,0.0492969425132777,19.1620631230932,0.049075154652088,301.825579040551,0.0492969425132777,233.656627171615,0.0518352373387982,67.898827736447,0.0503506730997426,29.4193212123915,0.0494360202367375,11.1902822276382,0.101264422400714
"MAPS_JBWS",271.326036846207,0.0521370670472325,1420.44836549163,0.0521734429392504,726.413406073127,0.0522896825704808,1420.44836549163,0.0521734429392504,221.567246486404,0.0521116921110649,52.9662964457398,0.0348419289856736,18.6722985124884,0.0348392079345525,12.3698319530229,0.0520530125743512
"MAPS_KLAM",22.7572409729786,0.0895935986548294,247.365637602855,0.0514456798676257,130.130964498031,0.0512093258105745,247.365637602855,0.0514456798676257,374.028935217582,0.0340853767223216,47.9085491550505,0.0342219365914483,18.553236742651,0.0529139102610144,2.5711249803869,0.0373063688330579
"MAPS_LASS",69.018014167428,0.0800984718539605,73.4040006626424,0.037682941002879,60.8571060240766,0.0804654491828402,73.4040006626424,0.037682941002879,79.3551610561711,0.0420789969401428,16.8181091752215,0.0380298622706454,3.63225451085712,0.0765135200057264,2.46348553960407,0.0640717008851005
"MAPS_LIND",355.427640208748,0.0311895805423489,204.94807876809,0.0528667463465263,101.060331102409,0.0516640408363768,204.94807876809,0.0528667463465263,139.301754833511,0.0766206880973777,118.213525894438,0.0305156561879698,241.357411574759,0.0449043007781702,197.203851448172,0.0440640954552982
"MAPS_LKCR",1222.99126624724,0.0523932055365663,264.092831114364,0.0329074325314184,905.068031537248,0.0491276728089654,264.092831114364,0.0329074325314184,259.883908921351,0.0495610263552077,163.721678923516,0.0503016816105777,14.1614322526765,0.0493700807320184,11.8638006217051,0.0915325019660558
"MAPS_LNER",46.831526212947,0.0349596139480251,51.2127792919745,0.0294312247757716,32.0501038008789,0.0422598751496516,51.2127792919745,0.0294312247757716,28.9027591016429,0.0464566890213189,9.39399295361611,0.0552419196238801,9.53766236536239,0.0486540698924389,23.9336314722105,0.053186051976799
